"Real_ID","ID","sex","L_iris","a_iris","b_iris","ID2","L_iris_scaled","a_iris_scaled","b_iris_scaled","Rec_Session_Id","Set_ID","Trial_Id.x","Trial_Nr","Task_Name","culture","EyeCol","order","Set.x","Set.y","Trial_Id.y","Grupa_ATD","Grupa_EYE","Culture","SMUi_1","SMUi_2","SMUi_3","Facebook_AP","Instagram_AP","TikTok_AP","TwitterX_AP","YouTube_AP","Freq_Facebook","Freq_Instagram","Freq_TikTok","Freq_TwitterX","Freq_YouTube","NEG_FOMO","NEG_better_friends","NEG_hobbies","NEG_too_much_time","fa_8_ml","fa_8_uls","CFA_smu_score_8_no_covariance","CFA_smu_score_8_covariance","fa_12_ml_1FA","fa_12_ml_2FA","fa_12_ml_2FA_aka_NEG","fa_12_uls_1FA","fa_12_uls_2FA","CFA_smu_score_12_SMU_negsep","CFA_smu_score_12_NEG","CFA_smu_score_12_SMU_negNEsep","SMU_score","cultur","SMU_heavy","check_SMU_split","Fami_back","travel_abroad","NearMedian25","NearMedian25_f"
"7020_M_CZ_19_M","7020_M _19","M",18.7979,10.2968,12.3963,"CZ_19_M",-1.81503439990058,1.37777709551022,0.764245619394417,1218790,"CZ_19_M_31",31,1,"CZ_19_M_eye","TUR","Brown",27957,"CZ_19_M","CZ_19_M",31,"CZ_19M_ATD","CZ_19_M_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"1181_F_CZ_19_F","1181_F _19","f",23.6339,1.14,1.8722,"CZ_19_F",-1.11138649835892,-0.929532072426347,-0.762707876699139,1218790,"CZ_19_F_13",13,2,"CZ_19_F_eye","TUR","Blue",27958,"CZ_19_F","CZ_19_F",13,"CZ_19F_ATD","CZ_19_F_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"8050_M_CZ_19_M","8050_M _19","M",27.0271,5.3689,12.3594,"CZ_19_M",-0.617668950900043,0.136056314377663,0.758891756925811,1218790,"CZ_19_M_36",36,2,"CZ_19_M_eye","TUR","Brown",27959,"CZ_19_M","CZ_19_M",36,"CZ_19M_ATD","CZ_19_M_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"4091_F_CZ_19_F","4091_F _19","f",34.4369,1.889,6.1379,"CZ_19_F",0.460472120407514,-0.740800794383309,-0.143792669860903,1218790,"CZ_19_F_20",20,3,"CZ_19_F_eye","TUR","Blue",27960,"CZ_19_F","CZ_19_F",20,"CZ_19F_ATD","CZ_19_F_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"4040_M_CZ_19_M","4040_M _19","M",26.9,8.0442,15.535,"CZ_19_M",-0.636162261132869,0.810172186405085,1.21964312969828,1218790,"CZ_19_M_19",19,3,"CZ_19_M_eye","TUR","Brown",27961,"CZ_19_M","CZ_19_M",19,"CZ_19M_ATD","CZ_19_M_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"10011_F_CZ_19_F","10011_F _19","f",37.0156,1.5317,5.4803,"CZ_19_F",0.835678250205996,-0.830832417407044,-0.239204592878655,1218790,"CZ_19_F_2",2,4,"CZ_19_F_eye","TUR","Other",27962,"CZ_19_F","CZ_19_F",2,"CZ_19F_ATD","CZ_19_F_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"2010_M_CZ_19_M","2010_M _19","M",31.2582,1.8871,-1.3518,"CZ_19_M",-0.00203523787008256,-0.741279551964459,-1.23048165986403,1218790,"CZ_19_M_12",12,4,"CZ_19_M_eye","TUR","Blue",27963,"CZ_19_M","CZ_19_M",12,"CZ_19M_ATD","CZ_19_M_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"5011_F_CZ_19_F","5011_F _19","f",21.8336,8.0577,14.3606,"CZ_19_F",-1.3733338344105,0.813573885007997,1.04924811389528,1218790,"CZ_19_F_28",28,5,"CZ_19_F_eye","TUR","Brown",27964,"CZ_19_F","CZ_19_F",28,"CZ_19F_ATD","CZ_19_F_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"7060_M_CZ_19_M","7060_M _19","M",26.3142,2.3326,0.2701,"CZ_19_M",-0.721397360537977,-0.629023498068367,-0.995158366155861,1218790,"CZ_19_M_33",33,5,"CZ_19_M_eye","TUR","Blue",27965,"CZ_19_M","CZ_19_M",33,"CZ_19M_ATD","CZ_19_M_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"5061_F_CZ_19_F","5061_F _19","f",18.5451,10.4665,12.436,"CZ_19_F",-1.85181731749978,1.4205377068372,0.770005737009692,1218790,"CZ_19_F_33",33,6,"CZ_19_F_eye","TUR","Brown",27966,"CZ_19_F","CZ_19_F",33,"CZ_19F_ATD","CZ_19_F_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"4230_M_CZ_19_M","4230_M _19","M",15.6801,11.1536,10.3763,"CZ_19_M",-2.26868068348754,1.5936715668417,0.471161549297308,1218790,"CZ_19_M_30",30,6,"CZ_19_M_eye","TUR","Brown",27967,"CZ_19_M","CZ_19_M",30,"CZ_19M_ATD","CZ_19_M_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"8011_F_CZ_19_F","8011_F _19","f",15.9558,10.8976,10.199,"CZ_19_F",-2.22856576900139,1.52916528222352,0.445436893045715,1218790,"CZ_19_F_45",45,7,"CZ_19_F_eye","TUR","Brown",27968,"CZ_19_F","CZ_19_F",45,"CZ_19F_ATD","CZ_19_F_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
"1120_M_CZ_19_M","1120_M _19","M",20.6696,11.9553,14.974,"CZ_19_M",-1.54269821765998,1.7956820683198,1.13824700924061,1218790,"CZ_19_M_9",9,7,"CZ_19_M_eye","TUR","Brown",27969,"CZ_19_M","CZ_19_M",9,"CZ_19M_ATD","CZ_19_M_eye","TUR","7","6","3",1,4,1,1,4,"1","6","1","1","5","4","4","4","4",0.951939942965997,0.869984064263057,0.985000794893201,1.04015785551215,1.01264894287894,0.972241307485969,1.055256756658,0.976798803497128,0.922330610090031,0.981504271869295,0.687997218371833,0.946073489044403,0.951939942965997,"TUR",1,0.562324357278662,2,5,0,"Outside"
